Date,Open,High,Low,Close,Volume,Volume MA
1688936400,1.09688,1.09688,1.0961,1.09616,10,NaN
1688936700,1.09616,1.09644,1.09594,1.09644,43,NaN
1688937000,1.09644,1.09656,1.09644,1.09655,10,NaN
1688937300,1.09655,1.09658,1.09653,1.09656,27,NaN
1688937600,1.09656,1.09686,1.09656,1.09682,18,NaN
1688937900,1.09682,1.09682,1.0968,1.0968,4,NaN
1688938200,1.0968,1.0968,1.09674,1.09674,11,NaN
1688938500,1.09674,1.09675,1.09654,1.09654,18,NaN
1688938800,1.09654,1.09673,1.09654,1.09667,22,NaN
1688939100,1.09667,1.09667,1.09658,1.09661,12,NaN
1688939400,1.09661,1.09664,1.09658,1.0966,21,NaN
1688939700,1.0966,1.0966,1.09658,1.09659,12,NaN
1688940000,1.09659,1.09668,1.0965,1.09661,148,NaN
1688940300,1.09661,1.09665,1.09652,1.09659,74,NaN
1688940600,1.09659,1.09688,1.09658,1.09679,153,NaN
1688940900,1.09679,1.09679,1.09664,1.09667,127,NaN
1688941200,1.09667,1.09694,1.09665,1.09691,109,NaN
1688941500,1.09691,1.09698,1.09684,1.0969,104,NaN
1688941800,1.0969,1.0969,1.09664,1.09672,132,NaN
1688942100,1.09672,1.09688,1.09667,1.09676,91,57.3
1688942400,1.09676,1.09682,1.09664,1.09672,85,61.05
1688942700,1.09672,1.09676,1.09666,1.09674,88,63.3
1688943000,1.09674,1.09678,1.09664,1.09676,97,67.65
1688943300,1.09676,1.09676,1.09664,1.09664,77,70.15
1688943600,1.09664,1.09665,1.0965,1.09659,153,76.9
1688943900,1.09659,1.09665,1.09644,1.09644,137,83.55
1688944200,1.09644,1.09648,1.09635,1.0964,97,87.85
1688944500,1.0964,1.09642,1.09633,1.09633,44,89.15
1688944800,1.09633,1.09639,1.09631,1.09633,48,90.45
1688945100,1.09633,1.09639,1.09628,1.0963,63,93
1688945400,1.0963,1.09634,1.09624,1.09626,80,95.95
1688945700,1.09626,1.09636,1.09624,1.09636,99,100.3
1688946000,1.09636,1.09654,1.09634,1.09651,70,96.4
1688946300,1.09651,1.09668,1.09649,1.09664,111,98.25
1688946600,1.09664,1.09676,1.09658,1.09675,102,95.7
1688946900,1.09675,1.09682,1.0967,1.0967,104,94.55
1688947200,1.0967,1.0969,1.0962,1.09636,270,102.6
1688947500,1.09636,1.09648,1.0962,1.0962,279,111.35
1688947800,1.0962,1.09629,1.096,1.09602,259,117.7
1688948100,1.09602,1.0961,1.09582,1.09592,243,125.3
1688948400,1.09592,1.09596,1.0957,1.09582,273,134.7
1688948700,1.09582,1.09593,1.0958,1.09589,153,137.95
1688949000,1.09589,1.09612,1.09589,1.09606,197,142.95
1688949300,1.09606,1.0961,1.09581,1.09584,197,148.95
1688949600,1.09584,1.09605,1.0958,1.09604,207,151.65
1688949900,1.09604,1.09604,1.09585,1.09601,241,156.85
1688950200,1.09601,1.09654,1.09599,1.09652,313,167.65
1688950500,1.09652,1.0966,1.09634,1.09644,211,176
1688950800,1.09644,1.09678,1.09638,1.09678,249,186.05
1688951100,1.09678,1.09684,1.09643,1.0967,258,195.8
1688951400,1.0967,1.09692,1.09663,1.09663,266,205.1
1688951700,1.09663,1.09684,1.09654,1.09658,395,219.9
1688952000,1.09658,1.0969,1.09655,1.09685,448,238.8
1688952300,1.09685,1.09695,1.09678,1.09678,141,240.3
1688952600,1.09678,1.09682,1.09613,1.0962,367,253.55
1688952900,1.0962,1.09622,1.0957,1.096,396,268.15
1688953200,1.096,1.09606,1.0958,1.09599,379,273.6
1688953500,1.09599,1.09626,1.09597,1.09619,278,273.55
1688953800,1.09619,1.09619,1.09593,1.09606,287,274.95
1688954100,1.09606,1.09611,1.09594,1.09606,367,281.15
1688954400,1.09606,1.09634,1.09602,1.09607,332,284.1
1688954700,1.09607,1.09625,1.09602,1.09605,242,288.55
1688955000,1.09605,1.09624,1.09599,1.0961,242,290.8
1688955300,1.0961,1.09622,1.09608,1.09618,210,291.45
1688955600,1.09618,1.09622,1.09603,1.09608,291,295.65
1688955900,1.09608,1.09609,1.0958,1.09581,219,294.55
1688956200,1.09581,1.09608,1.0958,1.09592,226,290.2
1688956500,1.09592,1.09606,1.0959,1.09598,214,290.35
1688956800,1.09598,1.09598,1.09571,1.09572,284,292.1
1688957100,1.09572,1.09592,1.09564,1.09592,293,293.85
1688957400,1.09592,1.09608,1.0959,1.09598,249,293
1688957700,1.09598,1.09614,1.09595,1.09606,173,281.9
1688958000,1.09606,1.09622,1.09602,1.0961,250,272
1688958300,1.0961,1.0961,1.09586,1.09588,263,278.1
1688958600,1.09588,1.09602,1.09576,1.09576,238,271.65
1688958900,1.09576,1.096,1.09573,1.09576,158,259.75
1688959200,1.09576,1.09586,1.09546,1.09556,230,252.3
1688959500,1.09556,1.09568,1.09546,1.09551,168,246.8
1688959800,1.09551,1.09558,1.09546,1.09546,285,246.7
1688960100,1.09546,1.09557,1.09528,1.09554,207,238.7
1688960400,1.09554,1.09563,1.09536,1.09558,194,231.8
1688960700,1.09558,1.0956,1.09544,1.09546,119,225.65
1688961000,1.09546,1.09564,1.09542,1.09559,189,223
1688961300,1.09559,1.09563,1.09544,1.09559,196,222.3
1688961600,1.09559,1.09569,1.09548,1.09548,247,220.1
1688961900,1.09548,1.09574,1.09542,1.09569,201,219.2
1688962200,1.09569,1.09573,1.09559,1.09573,146,215.2
1688962500,1.09573,1.09578,1.09566,1.09572,161,212.55
1688962800,1.09572,1.09579,1.0957,1.09576,132,204.95
1688963100,1.09576,1.09577,1.0957,1.09573,111,195.85
1688963400,1.09573,1.0958,1.09567,1.0957,158,191.3
1688963700,1.0957,1.09572,1.0956,1.09565,200,192.65
1688964000,1.09565,1.09572,1.0956,1.09566,193,189.8
1688964300,1.09566,1.09568,1.0955,1.09557,167,185
1688964600,1.09557,1.09558,1.09538,1.09543,157,180.95
1688964900,1.09543,1.09548,1.09528,1.09531,301,188.1
1688965200,1.09531,1.09556,1.09527,1.0954,276,190.4
1688965500,1.0954,1.09563,1.09533,1.0956,179,190.95
1688965800,1.0956,1.09564,1.09535,1.0954,173,185.35
1688966100,1.0954,1.09544,1.09528,1.09542,136,181.8
1688966400,1.09542,1.09549,1.09539,1.09539,158,180
1688966700,1.09539,1.09542,1.09522,1.09523,149,181.5
1688967000,1.09523,1.09543,1.09518,1.09526,252,184.65
1688967300,1.09526,1.09528,1.09504,1.09508,179,183.8
1688967600,1.09508,1.0953,1.09498,1.09522,344,188.65
1688967900,1.09522,1.09551,1.09522,1.09551,198,188.5
1688968200,1.09551,1.09552,1.09532,1.09538,256,194
1688968500,1.09538,1.0954,1.0946,1.09463,514,211.65
1688968800,1.09463,1.09542,1.09457,1.09504,624,236.25
1688969100,1.09504,1.0951,1.09465,1.09466,386,250
1688969400,1.09466,1.09504,1.09451,1.09496,301,257.15
1688969700,1.09496,1.09504,1.0947,1.09496,262,260.25
1688970000,1.09496,1.09523,1.09496,1.09504,312,266.2
1688970300,1.09504,1.09526,1.09491,1.09526,265,271.1
1688970600,1.09526,1.09534,1.09495,1.09524,329,279.7
1688970900,1.09524,1.09528,1.095,1.09516,218,275.55
1688971200,1.09516,1.09518,1.0949,1.09502,268,275.15
