Date,Open,High,Low,Close,Volume,Volume MA
1683504000,1.10184,1.10254,1.10168,1.10244,2263,3979.3
1683507600,1.10244,1.10322,1.10187,1.10314,2503,3968.95
1683511200,1.10314,1.10372,1.10282,1.1032,2093,3868.85
1683514800,1.1032,1.104,1.10314,1.10392,1668,3679.75
1683518400,1.10392,1.10445,1.10386,1.10436,2030,3552.95
1683522000,1.10436,1.10445,1.10368,1.10388,2083,3486.1
1683525600,1.10388,1.10506,1.10374,1.10484,2622,3481.8
1683529200,1.10484,1.10501,1.10384,1.10494,3595,3494.6
1683532800,1.10494,1.10538,1.1036,1.10362,3920,3127.6
1683536400,1.10362,1.10392,1.10228,1.1036,3668,2815.25
1683540000,1.1036,1.10502,1.10354,1.1048,2693,2602.8
1683543600,1.1048,1.10514,1.10301,1.10352,3591,2495.8
1683547200,1.10352,1.1041,1.1032,1.10372,3915,2513
1683550800,1.10372,1.10444,1.10335,1.10434,4947,2578.7
1683554400,1.10434,1.10441,1.10132,1.10158,5959,2712
1683558000,1.10158,1.10234,1.10116,1.10196,3771,2760
1683561600,1.10196,1.10292,1.10188,1.10274,2354,2805.7
1683565200,1.10274,1.10292,1.10133,1.10156,2266,2901.45
1683568800,1.10156,1.10156,1.1005,1.10058,3409,3022.9
1683572400,1.10058,1.10078,1.10001,1.10017,2367,3085.85
1683576000,1.10017,1.10046,1.10002,1.1004,1261,3035.75
1683579600,1.1004,1.10054,1.10022,1.10044,2340,3027.6
1683583200,1.10044,1.10048,1.10012,1.10014,821,2964
1683586800,1.10014,1.10024,1.09954,1.09967,852,2923.2
1683590400,1.09967,1.09976,1.0985,1.099,3540,2998.7
1683594000,1.099,1.0995,1.09872,1.09877,2128,3000.95
1683597600,1.09877,1.09928,1.09851,1.09906,1952,2967.45
1683601200,1.09906,1.09942,1.09882,1.09938,1570,2866.2
1683604800,1.09938,1.09955,1.09884,1.09889,1385,2739.45
1683608400,1.09889,1.09944,1.09846,1.09942,2281,2670.1
1683612000,1.09942,1.1001,1.09873,1.09942,3867,2728.8
1683615600,1.09942,1.10004,1.09727,1.09781,6283,2863.4
1683619200,1.09781,1.09863,1.09741,1.09789,4618,2898.55
1683622800,1.09789,1.09844,1.09778,1.09842,3505,2826.45
1683626400,1.09842,1.09844,1.09775,1.09798,3059,2681.45
1683630000,1.09798,1.09827,1.09591,1.09638,3638,2674.8
1683633600,1.09638,1.09672,1.09498,1.09501,5778,2846
1683637200,1.09501,1.09636,1.09411,1.0962,7385,3101.95
1683640800,1.0962,1.09646,1.09533,1.0956,6206,3241.8
1683644400,1.0956,1.09604,1.0951,1.09528,4129,3329.9
1683648000,1.09528,1.0961,1.09493,1.09554,3311,3432.4
1683651600,1.09554,1.09647,1.09542,1.09637,3197,3475.25
1683655200,1.09637,1.09725,1.09614,1.09666,3676,3618
1683658800,1.09666,1.09699,1.09615,1.0963,2911,3720.95
1683662400,1.0963,1.09641,1.09596,1.09605,1428,3615.35
1683666000,1.09605,1.09673,1.09457,1.09569,1001,3559
1683669600,1.09569,1.09674,1.09563,1.0965,1350,3528.9
1683673200,1.0965,1.0969,1.0964,1.09646,783,3489.55
1683676800,1.09646,1.09722,1.09645,1.09692,2271,3533.85
1683680400,1.09692,1.09742,1.09682,1.09714,2399,3539.75
1683684000,1.09714,1.0975,1.09704,1.09745,1803,3436.55
1683687600,1.09745,1.09775,1.09728,1.09762,1210,3182.9
1683691200,1.09762,1.09773,1.0972,1.0972,1230,3013.5
1683694800,1.0972,1.09725,1.09624,1.09667,2160,2946.25
1683698400,1.09667,1.09752,1.09644,1.09696,3612,2973.9
1683702000,1.09696,1.09826,1.0963,1.09649,5455,3064.75
1683705600,1.09649,1.09649,1.09502,1.09521,5191,3035.4
1683709200,1.09521,1.09593,1.09479,1.09568,3562,2844.25
1683712800,1.09568,1.09607,1.09514,1.09548,3033,2685.6
1683716400,1.09548,1.0955,1.09459,1.09492,3860,2672.15
1683720000,1.09492,1.10058,1.09416,1.10008,11172,3065.2
1683723600,1.10008,1.10064,1.09723,1.09858,10974,3454.05
1683727200,1.09858,1.1007,1.09642,1.09723,9745,3757.5
1683730800,1.09723,1.098,1.09652,1.09654,5231,3873.5
1683734400,1.09654,1.09755,1.0965,1.09705,3157,3959.95
1683738000,1.09705,1.09728,1.09618,1.09676,4029,4111.35
1683741600,1.09676,1.09827,1.09676,1.09769,3220,4204.85
1683745200,1.09769,1.0985,1.0976,1.09824,2516,4291.5
1683748800,1.09824,1.09846,1.09806,1.09834,1353,4245.6
1683752400,1.09834,1.09834,1.0979,1.09834,771,4164.2
1683756000,1.09834,1.09865,1.09824,1.09864,592,4103.65
1683759600,1.09864,1.09874,1.09824,1.09828,647,4075.5
1683763200,1.09828,1.09931,1.09824,1.09928,2339,4130.95
1683766800,1.09928,1.09982,1.09842,1.09846,3093,4177.6
1683770400,1.09846,1.09852,1.09752,1.09806,2600,4127
1683774000,1.09806,1.09819,1.09736,1.09746,1441,3926.3
1683777600,1.09746,1.09764,1.09696,1.09754,1458,3739.65
1683781200,1.09754,1.09824,1.09744,1.09784,1879,3655.5
1683784800,1.09784,1.0979,1.09292,1.09306,5235,3765.6
1683788400,1.09306,1.09388,1.09242,1.09302,7641,3954.65
1683792000,1.09302,1.09366,1.09182,1.09284,7037,3747.9
1683795600,1.09284,1.09346,1.09238,1.09278,4072,3402.8
1683799200,1.09278,1.09312,1.09179,1.09226,4003,3115.7
1683802800,1.09226,1.09385,1.09214,1.09316,7278,3218.05
1683806400,1.09316,1.0948,1.0926,1.09329,10241,3572.25
1683810000,1.09329,1.09332,1.0901,1.09017,10959,3918.75
1683813600,1.09017,1.09212,1.09002,1.09174,8817,4198.6
1683817200,1.09174,1.092,1.09094,1.09156,5766,4361.1
1683820800,1.09156,1.09292,1.09156,1.09253,4135,4500.2
1683824400,1.09253,1.09258,1.09108,1.09128,3335,4628.4
1683828000,1.09128,1.09187,1.0912,1.09186,3149,4756.25
1683831600,1.09186,1.09216,1.09162,1.09171,1895,4818.65
1683835200,1.09171,1.09177,1.09152,1.09158,1030,4753.2
1683838800,1.09158,1.09212,1.09156,1.09172,387,4617.9
1683842400,1.09172,1.09189,1.09147,1.09166,827,4529.25
1683846000,1.09166,1.09176,1.09114,1.09124,942,4504.3
1683849600,1.09124,1.09216,1.09124,1.09216,2102,4536.5
1683853200,1.09216,1.09243,1.09173,1.09243,2824,4583.75
1683856800,1.09243,1.09254,1.09178,1.09186,2410,4442.5
1683860400,1.09186,1.09226,1.09152,1.09224,1959,4158.4
1683864000,1.09224,1.0927,1.09218,1.09264,2062,3909.65
1683867600,1.09264,1.09306,1.09218,1.09242,2235,3817.8
1683871200,1.09242,1.09345,1.09196,1.0929,4354,3835.35
1683874800,1.0929,1.09356,1.09062,1.09076,5970,3769.95
1683878400,1.09076,1.09142,1.09045,1.09137,4523,3484.05
1683882000,1.09137,1.09174,1.0899,1.0911,4018,3137
1683885600,1.0911,1.09148,1.09052,1.09054,2742,2833.25
1683889200,1.09054,1.09058,1.08892,1.0892,3755,2732.7
1683892800,1.0892,1.08952,1.08813,1.0887,5178,2784.85
1683896400,1.0887,1.08945,1.08791,1.0889,6452,2940.7
1683900000,1.0889,1.08974,1.08616,1.08624,9534,3259.95
1683903600,1.08624,1.0865,1.08542,1.08558,5314,3430.9
1683907200,1.08558,1.0857,1.08486,1.08518,3200,3539.4
1683910800,1.08518,1.08569,1.08504,1.08547,2712,3655.65
1683914400,1.08547,1.08547,1.08488,1.08532,2938,3761.2
1683918000,1.08532,1.08552,1.08507,1.08516,2446,3836.4
1683921600,1.08516,1.08522,1.0848,1.08498,1203,3791.45
1684098000,1.08498,1.0856,1.08498,1.08545,197,3660.1
1684101600,1.08545,1.08545,1.08457,1.08499,1345,3606.85
1684105200,1.08499,1.08534,1.0848,1.0853,955,3556.65
1684108800,1.0853,1.08558,1.08482,1.08532,2263,3566.7
1684112400,1.08532,1.08644,1.08525,1.08633,3015,3605.7
1684116000,1.08633,1.08634,1.08552,1.08554,2266,3501.3
1684119600,1.08554,1.08622,1.08548,1.08599,2002,3302.9
1684123200,1.08599,1.08636,1.08573,1.08631,1256,3139.55
1684126800,1.08631,1.08692,1.08618,1.08676,2352,3056.25
1684130400,1.08676,1.08722,1.08602,1.08698,3844,3111.35
1684134000,1.08698,1.08771,1.08648,1.0874,4777,3162.45
1684137600,1.0874,1.08802,1.0866,1.08686,4177,3112.4
1684141200,1.08686,1.08698,1.08556,1.0869,3750,2977.3
1684144800,1.0869,1.08792,1.08667,1.0878,2902,2645.7
1684148400,1.0878,1.08806,1.08736,1.08777,3395,2549.75
1684152000,1.08777,1.0891,1.08736,1.08791,5826,2681.05
1684155600,1.08791,1.0882,1.08727,1.08794,5503,2820.6
1684159200,1.08794,1.08818,1.08646,1.08648,6031,2975.25
1684162800,1.08648,1.08753,1.0864,1.08733,4092,3057.55
1684166400,1.08733,1.0879,1.08677,1.0879,2658,3130.3
1684170000,1.0879,1.0879,1.08747,1.08762,2280,3234.45
1684173600,1.08762,1.08782,1.08737,1.08743,1847,3259.55
1684177200,1.08743,1.0877,1.08737,1.08752,2046,3314.1
1684180800,1.08752,1.08765,1.0873,1.08745,1096,3255.75
1684184400,1.08745,1.0876,1.08736,1.08752,319,3120.95
1684188000,1.08752,1.08773,1.08746,1.08762,851,3050.2
1684191600,1.08762,1.08762,1.08732,1.08736,706,2985.4
1684195200,1.08736,1.08822,1.08736,1.0882,1749,3010.05
1684198800,1.0882,1.0882,1.08752,1.08776,2184,3001.65
1684202400,1.08776,1.08837,1.08683,1.08836,2463,2932.6
1684206000,1.08836,1.08847,1.08798,1.08826,1229,2755.2
1684209600,1.08826,1.08836,1.088,1.0883,1260,2609.35
1684213200,1.0883,1.0883,1.08702,1.08712,2173,2530.5
1684216800,1.08712,1.0877,1.08629,1.08764,4968,2633.8
1684220400,1.08764,1.08946,1.0872,1.08886,5775,2752.8
1684224000,1.08886,1.08978,1.08877,1.08914,4439,2683.45
1684227600,1.08914,1.09048,1.08892,1.08938,4019,2609.25
1684231200,1.08938,1.08972,1.08902,1.08952,2642,2439.8
1684234800,1.08952,1.08974,1.08852,1.0887,3437,2407.05
1684238400,1.0887,1.089,1.08682,1.08817,7469,2647.6
1684242000,1.08817,1.08892,1.08737,1.08751,8074,2937.3
1684245600,1.08751,1.08762,1.08598,1.08664,7099,3199.9
1684249200,1.08664,1.08681,1.0855,1.08648,5523,3373.75
1684252800,1.08648,1.08722,1.0864,1.08668,3811,3509.5
1684256400,1.08668,1.08712,1.08614,1.0867,2620,3624.55
1684260000,1.0867,1.08703,1.08644,1.08678,2210,3692.5
1684263600,1.08678,1.08698,1.08581,1.0863,2430,3778.7
1684267200,1.0863,1.08646,1.08606,1.0862,1544,3768.45
1684270800,1.0862,1.08648,1.08614,1.08625,369,3677.7
1684274400,1.08625,1.0864,1.08616,1.08625,606,3584.85
1684278000,1.08625,1.08656,1.08607,1.08654,769,3561.85
1684281600,1.08654,1.0872,1.08639,1.08706,2458,3621.75
1684285200,1.08706,1.08712,1.08622,1.087,3179,3672.05
1684288800,1.087,1.08738,1.08684,1.08698,3123,3579.8
1684292400,1.08698,1.08714,1.08647,1.08656,1461,3364.1
1684296000,1.08656,1.08677,1.08632,1.08648,1398,3212.05
1684299600,1.08648,1.08653,1.08525,1.08532,2617,3141.95
1684303200,1.08532,1.08646,1.08502,1.08538,3656,3192.65
1684306800,1.08538,1.08638,1.08313,1.08319,6343,3337.95
1684310400,1.08319,1.08482,1.08272,1.08292,5072,3218.1
1684314000,1.08292,1.08326,1.08206,1.0831,4310,3029.9
1684317600,1.0831,1.08328,1.08246,1.08302,3391,2844.5
1684321200,1.08302,1.08417,1.0825,1.08252,4044,2770.55
1684324800,1.08252,1.08318,1.08134,1.0824,5411,2850.55
1684328400,1.0824,1.0839,1.0815,1.08156,6831,3061.1
1684332000,1.08156,1.0833,1.08102,1.08207,7077,3304.45
1684335600,1.08207,1.08363,1.08178,1.08294,5651,3465.5
1684339200,1.08294,1.08454,1.0829,1.0842,3417,3559.15
1684342800,1.0842,1.08492,1.08417,1.0844,3057,3693.55
1684346400,1.0844,1.08456,1.08364,1.08376,3319,3829.2
1684350000,1.08376,1.0843,1.0837,1.08399,2520,3916.75
1684353600,1.08399,1.08402,1.0837,1.0839,1047,3846.2
1684357200,1.0839,1.08466,1.0839,1.08403,249,3699.7
1684360800,1.08403,1.08426,1.08383,1.08386,679,3577.5
1684364400,1.08386,1.08386,1.08349,1.08381,733,3541.1
1684368000,1.08381,1.08434,1.0835,1.08423,2166,3579.5
1684371600,1.08423,1.0848,1.0838,1.08452,3682,3632.75
1684375200,1.08452,1.08482,1.08438,1.08462,2211,3560.5
1684378800,1.08462,1.08474,1.08377,1.08398,1612,3323.95
1684382400,1.08398,1.08405,1.08327,1.0833,1373,3139
1684386000,1.0833,1.0836,1.08269,1.08302,2523,3049.65
1684389600,1.08302,1.08346,1.08234,1.0826,4067,3083.45
1684393200,1.0826,1.08312,1.08091,1.08164,4716,3117.05
1684396800,1.08164,1.08222,1.08122,1.08166,4941,3093.55
1684400400,1.08166,1.082,1.08074,1.08181,3687,2936.35
1684404000,1.08181,1.08196,1.08056,1.08154,2826,2723.8
1684407600,1.08154,1.08181,1.08084,1.0815,2996,2591.05
1684411200,1.0815,1.0818,1.07853,1.07902,6918,2766.1
1684414800,1.07902,1.07952,1.07752,1.0778,7287,2977.6
1684418400,1.0778,1.07866,1.0767,1.07694,6805,3151.9
1684422000,1.07694,1.07785,1.07633,1.07754,5112,3281.5
1684425600,1.07754,1.07812,1.07628,1.07631,3881,3423.2
1684429200,1.07631,1.07672,1.07625,1.07666,3518,3586.65
1684432800,1.07666,1.0769,1.0764,1.07668,2256,3665.5
1684436400,1.07668,1.07744,1.0766,1.0774,2481,3752.9
1684440000,1.0774,1.07749,1.07705,1.07712,1279,3708.55
1684443600,1.07712,1.07728,1.07686,1.07706,362,3542.55
1684447200,1.07706,1.07769,1.07704,1.07765,675,3465.75
1684450800,1.07765,1.07767,1.07737,1.07752,888,3429.55
1684454400,1.07752,1.07802,1.07725,1.07738,2808,3501.3
1684458000,1.07738,1.0776,1.076,1.07635,3636,3556.95
1684461600,1.07635,1.0774,1.07607,1.07722,2727,3489.95
1684465200,1.07722,1.07725,1.0767,1.07684,1969,3352.6
1684468800,1.07684,1.07694,1.07606,1.07637,1592,3185.15
1684472400,1.07637,1.07712,1.07616,1.07688,2180,3109.8
1684476000,1.07688,1.0792,1.0767,1.07814,4526,3194.8
