Date,open,high,low,close,Volume,Volume MA,Volume,Volume MA
1696230000,1.05896,1.05919,1.05714,1.05724,5000,3592,5000,3592
1696233600,1.05724,1.05782,1.05601,1.05621,3927,3392.5,3927,3392.5
1696237200,1.05621,1.05628,1.05348,1.05391,4244,3212.45,4244,3212.45
1696240800,1.05391,1.0544,1.05339,1.05396,3652,2969.45,3652,2969.45
1696244400,1.05396,1.05427,1.05302,1.05314,4162,2818.65,4162,2818.65
1696248000,1.05314,1.05377,1.05249,1.05296,5062,2833.05,5062,2833.05
1696251600,1.05296,1.05328,1.0515,1.05165,6149,2927.7,6149,2927.7
1696255200,1.05165,1.05278,1.04923,1.04956,10613,3265.6,10613,3265.6
1696258800,1.04956,1.05129,1.04956,1.0499,6252,3381.15,6252,3381.15
1696262400,1.0499,1.04995,1.04883,1.04892,4393,3513.5,4393,3513.5
1696266000,1.04892,1.05054,1.04892,1.0496,3498,3671,3498,3671
1696269600,1.0496,1.05024,1.04906,1.04928,3228,3760.05,3228,3760.05
1696273200,1.04928,1.04941,1.04807,1.04809,3100,3831.45,3100,3831.45
1696276800,1.04809,1.04828,1.04779,1.0478,2112,3828.15,2112,3828.15
1696280400,1.0478,1.04796,1.04778,1.04794,177,3744.4,177,3744.4
1696284000,1.04794,1.04828,1.04765,1.04768,1452,3734.3,1452,3734.3
1696287600,1.04768,1.04828,1.04753,1.048,1206,3746.05,1206,3746.05
1696291200,1.048,1.04806,1.04642,1.04726,3224,3848.4,3224,3848.4
1696294800,1.04726,1.04748,1.04678,1.04714,2495,3897.8,2495,3897.8
1696298400,1.04714,1.04716,1.04638,1.04665,1966,3795.6,1966,3795.6
1696302000,1.04665,1.04709,1.04652,1.04684,1559,3623.55,1559,3623.55
1696305600,1.04684,1.04705,1.046,1.04634,2318,3543.1,2318,3543.1
1696309200,1.04634,1.04664,1.04609,1.04658,2442,3453,2442,3453
1696312800,1.04658,1.04748,1.04623,1.0473,4039,3472.35,4039,3472.35
1696316400,1.0473,1.04844,1.04691,1.04825,4266,3477.55,4266,3477.55
1696320000,1.04825,1.04936,1.04784,1.04853,4132,3431.05,4132,3431.05
1696323600,1.04853,1.04913,1.04804,1.04838,3781,3312.65,3781,3312.65
1696327200,1.04838,1.04856,1.04756,1.0476,3217,2942.85,3217,2942.85
1696330800,1.0476,1.04817,1.04694,1.04736,3928,2826.65,3928,2826.65
1696334400,1.04736,1.04788,1.04622,1.04662,5804,2897.2,5804,2897.2
1696338000,1.04662,1.04859,1.04642,1.04812,6572,3050.9,6572,3050.9
1696341600,1.04812,1.04828,1.04496,1.04756,17848,3781.9,17848,3781.9
1696345200,1.04756,1.04758,1.04485,1.04527,6889,3971.35,6889,3971.35
1696348800,1.04527,1.04726,1.04518,1.04624,4930,4112.25,4930,4112.25
1696352400,1.04624,1.04752,1.04622,1.04694,3526,4279.7,3526,4279.7
1696356000,1.04694,1.04797,1.04596,1.04748,3581,4386.15,3581,4386.15
1696359600,1.04748,1.04786,1.04706,1.04716,3061,4478.9,3061,4478.9
1696363200,1.04716,1.04738,1.04648,1.04669,1758,4405.6,1758,4405.6
1696366800,1.04669,1.04706,1.0464,1.04651,320,4296.85,320,4296.85
1696370400,1.04651,1.0468,1.04642,1.04646,799,4238.5,799,4238.5
1696374000,1.04646,1.04698,1.04631,1.04686,1174,4219.25,1174,4219.25
1696377600,1.04686,1.04758,1.04657,1.04714,2198,4213.25,2198,4213.25
1696381200,1.04714,1.0472,1.04603,1.0467,3194,4250.85,3194,4250.85
1696384800,1.0467,1.04685,1.04598,1.04632,2276,4162.7,2276,4162.7
1696388400,1.04632,1.04668,1.04572,1.04593,1972,4048,1972,4048
1696392000,1.04593,1.04702,1.04582,1.04702,1919,3937.35,1919,3937.35
1696395600,1.04702,1.04742,1.0467,1.04684,2138,3855.2,2138,3855.2
1696399200,1.04684,1.04695,1.04543,1.04605,3068,3847.75,3068,3847.75
1696402800,1.04605,1.04856,1.04515,1.04848,5424,3922.55,5424,3922.55
1696406400,1.04848,1.04888,1.04791,1.04862,4590,3861.85,4590,3861.85
1696410000,1.04862,1.05042,1.0485,1.04984,4043,3735.4,4043,3735.4
1696413600,1.04984,1.05116,1.04955,1.05034,3752,3030.6,3752,3030.6
1696417200,1.05034,1.05166,1.0498,1.04981,4593,2915.8,4593,2915.8
1696420800,1.04981,1.05322,1.04962,1.05252,10093,3173.95,10093,3173.95
1696424400,1.05252,1.05259,1.05052,1.05075,6916,3343.45,6916,3343.45
1696428000,1.05075,1.05119,1.0483,1.0493,9705,3649.65,9705,3649.65
1696431600,1.0493,1.05203,1.04903,1.05178,6544,3823.8,6544,3823.8
1696435200,1.05178,1.05218,1.0511,1.05122,3846,3928.2,3846,3928.2
1696438800,1.05122,1.05132,1.05008,1.05028,3829,4103.65,3829,4103.65
1696442400,1.05028,1.05072,1.04978,1.05033,3540,4240.7,3540,4240.7
1696446000,1.05033,1.05196,1.05018,1.05154,2910,4327.5,2910,4327.5
1696449600,1.05154,1.05162,1.0503,1.0504,1603,4297.75,1603,4297.75
1696453200,1.0504,1.05078,1.05032,1.05066,358,4155.95,358,4155.95
1696456800,1.05066,1.05087,1.05055,1.05066,622,4073.25,622,4073.25
1696460400,1.05066,1.05094,1.05053,1.0507,796,4014.45,796,4014.45
1696464000,1.0507,1.05221,1.05022,1.05204,2336,4035.3,2336,4035.3
1696467600,1.05204,1.0529,1.05204,1.05288,3426,4099.7,3426,4099.7
1696471200,1.05288,1.05291,1.0521,1.05233,1815,4037.05,1815,4037.05
1696474800,1.05233,1.05286,1.05216,1.05252,1927,3862.2,1927,3862.2
1696478400,1.05252,1.05265,1.05206,1.05208,2115,3738.45,2115,3738.45
1696482000,1.05208,1.05262,1.05167,1.05173,2288,3650.7,2288,3650.7
1696485600,1.05173,1.05211,1.05048,1.05072,3310,3628.6,3310,3628.6
1696489200,1.05072,1.05146,1.05017,1.05087,5149,3656.4,5149,3656.4
1696492800,1.05087,1.05204,1.05028,1.05043,4880,3395.75,4880,3395.75
1696496400,1.05043,1.05165,1.05034,1.05079,4220,3260.95,4220,3260.95
1696500000,1.05079,1.05232,1.05052,1.05188,4132,2982.3,4132,2982.3
1696503600,1.05188,1.05254,1.05111,1.05238,4325,2871.35,4325,2871.35
1696507200,1.05238,1.053,1.05,1.0515,8164,3087.25,8164,3087.25
1696510800,1.0515,1.05321,1.05079,1.05252,10139,3402.75,10139,3402.75
1696514400,1.05252,1.05332,1.05128,1.05302,8836,3667.55,8836,3667.55
1696518000,1.05302,1.05374,1.05202,1.05259,7194,3881.75,7194,3881.75
1696521600,1.05259,1.05402,1.05242,1.0536,5566,4079.9,5566,4079.9
1696525200,1.0536,1.054,1.05289,1.05378,4364,4280.2,4364,4280.2
