time,open,high,low,close,Volume,Volume MA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Plot,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1577916000,1.12128,1.12171,1.12107,1.12149,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN
1577919600,1.12149,1.12217,1.12148,1.1219,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN
1577923200,1.1219,1.12193,1.12158,1.12185,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN
1577926800,1.12185,1.12246,1.12181,1.12211,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN
1577930400,1.12211,1.12246,1.12185,1.12224,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN
1577934000,1.12224,1.12232,1.12125,1.12134,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN
1577937600,1.12134,1.12146,1.1201,1.12012,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN
1577941200,1.12012,1.12045,1.1201,1.12045,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN
1577944800,1.12045,1.12077,1.12039,1.12068,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN
1577948400,1.12068,1.12105,1.12045,1.121,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN
1577952000,1.121,1.12137,1.12053,1.1212,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN
1577955600,1.1212,1.12141,1.12012,1.12032,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN
1577959200,1.12032,1.12039,1.11929,1.11984,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN
1577962800,1.11984,1.12023,1.11843,1.11849,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN
1577966400,1.11849,1.11944,1.11831,1.11932,NaN,NaN,35.704874835308715,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN
1577970000,1.11932,1.11971,1.11898,1.11964,NaN,NaN,38.49733397963957,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN
1577973600,1.11964,1.11965,1.117,1.11741,NaN,NaN,29.033818327023155,NaN,NaN,NaN,50,29.033818327023155,NaN,NaN,NaN
1577977200,1.11741,1.12025,1.1171,1.12006,NaN,NaN,46.016568820038145,NaN,NaN,NaN,50,NaN,NaN,46.016568820038145,NaN
1577980800,1.12006,1.1203,1.11653,1.11664,NaN,NaN,34.531433560892694,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN
1577984400,1.11664,1.11719,1.11636,1.117,NaN,NaN,36.33278645832695,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN
1577988000,1.117,1.11722,1.11636,1.11703,NaN,NaN,36.48961105557223,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN
1577991600,1.11703,1.11705,1.11645,1.11664,NaN,NaN,35.27322470379079,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN
1577995200,1.11664,1.11717,1.1166,1.11695,NaN,NaN,37.06898679214769,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN
1577998800,1.11695,1.11735,1.11691,1.1172,NaN,NaN,38.549636356451224,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN
1578002400,1.1172,1.11732,1.11696,1.11718,NaN,NaN,38.47165279341576,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN
1578006000,1.11718,1.11737,1.11703,1.1171,NaN,NaN,38.13929935698512,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN
1578009600,1.1171,1.11762,1.117,1.11756,NaN,NaN,41.280489895802425,NaN,NaN,NaN,50,NaN,NaN,41.280489895802425,NaN
1578013200,1.11756,1.11787,1.11724,1.11737,NaN,NaN,40.36867969957613,37.55417118821219,NaN,NaN,50,NaN,NaN,NaN,NaN
1578016800,1.11737,1.11775,1.1172,1.11726,NaN,NaN,39.82029186956818,37.848129547802145,NaN,NaN,50,NaN,NaN,NaN,NaN
1578020400,1.11726,1.11738,1.11698,1.11722,NaN,NaN,39.609576868232125,37.9275754684159,NaN,NaN,50,NaN,NaN,NaN,NaN
1578024000,1.11722,1.11751,1.11686,1.11701,NaN,NaN,38.45895536327678,38.60079954243402,NaN,NaN,50,NaN,NaN,NaN,NaN
1578027600,1.11701,1.11707,1.11645,1.11666,NaN,NaN,36.55310003116406,37.92483748608587,NaN,NaN,50,NaN,NaN,NaN,NaN
1578031200,1.11666,1.11697,1.1164,1.11692,NaN,NaN,38.97250184117773,38.24205664896338,NaN,NaN,50,NaN,NaN,NaN,NaN
1578034800,1.11692,1.11715,1.11523,1.11533,NaN,NaN,31.149734656728512,37.87183866313491,NaN,NaN,50,NaN,NaN,NaN,NaN
1578038400,1.11533,1.11605,1.11507,1.11513,NaN,NaN,30.325173323009707,37.43152168223759,NaN,NaN,50,NaN,NaN,NaN,NaN
1578042000,1.11513,1.11524,1.11401,1.11402,NaN,NaN,26.182691848728908,36.78219790687602,NaN,NaN,50,NaN,NaN,NaN,NaN
1578045600,1.11402,1.11436,1.11308,1.11362,NaN,NaN,24.86455739477279,35.910452949920675,NaN,NaN,50,NaN,NaN,NaN,NaN
1578049200,1.11362,1.11362,1.1125,1.113,NaN,NaN,22.937036458457357,34.795267242921106,NaN,NaN,50,22.937036458457357,NaN,NaN,NaN
1578052800,1.113,1.11428,1.11283,1.11393,NaN,NaN,31.513342748857767,34.29824509688125,NaN,NaN,50,NaN,NaN,NaN,NaN
1578056400,1.11393,1.11489,1.11374,1.11382,NaN,NaN,31.07285867935782,33.79349933419359,NaN,NaN,50,NaN,NaN,NaN,NaN
1578060000,1.11382,1.11541,1.11354,1.11527,NaN,NaN,42.48521306159249,33.87955098889288,NaN,NaN,50,NaN,NaN,NaN,NaN
1578063600,1.11527,1.11674,1.11527,1.11636,NaN,NaN,49.28319557155118,34.51630212260538,NaN,NaN,50,NaN,NaN,NaN,NaN
1578067200,1.11636,1.118,1.11626,1.1172,NaN,NaN,53.81374381404884,35.515834404354,NaN,NaN,50,NaN,NaN,NaN,NaN
1578070800,1.1172,1.11742,1.1168,1.11722,NaN,NaN,53.919292640187145,36.53795695949365,NaN,NaN,50,NaN,NaN,53.919292640187145,NaN
1578074400,1.11722,1.11734,1.11661,1.11668,NaN,NaN,50.559649497655556,37.40229225480642,NaN,NaN,50,NaN,NaN,NaN,NaN
1578078000,1.11668,1.11681,1.11615,1.11674,NaN,NaN,50.92553626234193,38.428894842747695,NaN,NaN,50,NaN,NaN,NaN,NaN
1578081600,1.11674,1.11675,1.11601,1.11617,NaN,NaN,47.341169588103845,39.02665682467099,NaN,NaN,50,NaN,NaN,NaN,NaN
1578085200,1.11617,1.11639,1.11525,1.11572,NaN,NaN,44.66817911852557,39.99226000051364,NaN,NaN,50,44.66817911852557,NaN,NaN,NaN
1578261600,1.11572,1.11686,1.11572,1.11597,NaN,NaN,46.47625679330422,41.145908819820384,NaN,NaN,50,NaN,NaN,NaN,NaN
1578265200,1.11597,1.11678,1.11596,1.11606,NaN,NaN,47.145845979862756,42.64327697204424,NaN,NaN,50,NaN,NaN,NaN,NaN
1578268800,1.11605,1.11685,1.11602,1.11638,NaN,NaN,49.561932826553964,44.40737521717147,NaN,NaN,50,NaN,NaN,NaN,NaN
1578272400,1.11638,1.11656,1.11614,1.1163,NaN,NaN,48.959381523317816,46.26611415037579,NaN,NaN,50,NaN,NaN,NaN,NaN
1578276000,1.1163,1.11672,1.11625,1.11655,NaN,NaN,50.96561393557711,47.655562092284306,NaN,NaN,50,NaN,NaN,NaN,NaN
1578279600,1.11655,1.11712,1.11654,1.11659,NaN,NaN,51.29548121378762,49.10003513045787,NaN,NaN,50,NaN,NaN,NaN,NaN
1578283200,1.11659,1.11663,1.11617,1.11645,NaN,NaN,50.02696683369776,49.63873182846539,NaN,NaN,50,NaN,NaN,NaN,NaN
1578286800,1.11645,1.11653,1.11607,1.11625,NaN,NaN,48.19342541337297,49.56089110288123,NaN,NaN,50,NaN,NaN,NaN,NaN
1578290400,1.11625,1.11626,1.11572,1.11609,NaN,NaN,46.71823641926271,49.05406914611079,NaN,NaN,50,46.71823641926271,NaN,NaN,NaN
1578294000,1.11609,1.11668,1.11599,1.11646,NaN,NaN,50.49221789190415,48.809278092662005,NaN,NaN,50,NaN,NaN,NaN,NaN
1578297600,1.11646,1.11799,1.11633,1.11787,NaN,NaN,61.642254989651,49.60089277066168,NaN,NaN,50,NaN,NaN,NaN,NaN
1578301200,1.11787,1.11937,1.11753,1.11934,NaN,NaN,69.38393360121309,50.91934972343818,NaN,NaN,50,NaN,NaN,NaN,NaN
1578304800,1.11934,1.11996,1.11901,1.11964,NaN,NaN,70.68431491849043,52.586717247037214,NaN,NaN,50,NaN,NaN,NaN,NaN
1578308400,1.11964,1.12056,1.11963,1.12034,NaN,NaN,73.51141720569925,54.6469485389782,NaN,NaN,50,NaN,NaN,73.51141720569925,NaN
1578312000,1.12034,1.12044,1.11952,1.11982,NaN,NaN,68.2462715384981,56.20194959220633,NaN,NaN,50,NaN,NaN,NaN,NaN
1578315600,1.11982,1.12032,1.11912,1.11977,NaN,NaN,67.74384016395746,57.67323489107024,NaN,NaN,50,NaN,NaN,NaN,NaN
1578319200,1.11977,1.12003,1.11826,1.11833,NaN,NaN,55.15088921531776,58.072446061696226,NaN,NaN,50,55.15088921531776,NaN,NaN,NaN
1578322800,1.11833,1.11903,1.11822,1.11886,NaN,NaN,58.22864610921612,58.734536389260384,NaN,NaN,50,NaN,NaN,NaN,NaN
1578326400,1.11886,1.11897,1.11812,1.11874,NaN,NaN,57.270348593292994,59.18487457909724,NaN,NaN,50,NaN,NaN,NaN,NaN
1578330000,1.11874,1.11963,1.11843,1.11951,NaN,NaN,61.633587781528554,59.923310762507306,NaN,NaN,50,NaN,NaN,NaN,NaN
1578333600,1.11951,1.11979,1.1192,1.1192,NaN,NaN,59.020590984963015,60.565712487597686,NaN,NaN,50,NaN,NaN,NaN,NaN
1578337200,1.1192,1.1193,1.11881,1.11912,NaN,NaN,58.33328388496951,61.289988092711724,NaN,NaN,50,NaN,NaN,NaN,NaN
1578340800,1.11912,1.1194,1.11891,1.11938,NaN,NaN,59.96503808946852,62.236188212012145,NaN,NaN,50,NaN,NaN,NaN,NaN
1578344400,1.11938,1.11992,1.11931,1.11975,NaN,NaN,62.23179461830562,63.074729406755104,NaN,NaN,50,NaN,NaN,62.23179461830562,NaN
1578348000,1.11975,1.11976,1.11939,1.1196,NaN,NaN,60.73056543393889,63.009608724204234,NaN,NaN,50,NaN,NaN,NaN,NaN
1578351600,1.1196,1.11978,1.11942,1.11955,NaN,NaN,60.20917771405557,62.3542690179787,NaN,NaN,50,NaN,NaN,NaN,NaN
1578355200,1.11955,1.11957,1.11893,1.11899,NaN,NaN,54.559465967676395,61.20249409292056,NaN,NaN,50,NaN,NaN,NaN,NaN
1578358800,1.11899,1.11971,1.11896,1.11936,NaN,NaN,57.403506764290434,60.05192906139136,NaN,NaN,50,NaN,NaN,NaN,NaN
1578362400,1.11936,1.11936,1.1191,1.11916,NaN,NaN,55.38559498415315,59.13330930750958,NaN,NaN,50,NaN,NaN,NaN,NaN
1578366000,1.11916,1.11946,1.11913,1.11924,NaN,NaN,56.05110770272346,58.298114131707145,NaN,NaN,50,NaN,NaN,NaN,NaN
1578369600,1.11924,1.11936,1.11907,1.1191,NaN,NaN,54.51844205698748,58.25293933468355,NaN,NaN,50,NaN,NaN,NaN,NaN
1578373200,1.1191,1.11926,1.11829,1.11831,NaN,NaN,46.75008211325616,57.4330419064007,NaN,NaN,50,NaN,NaN,NaN,NaN
1578376800,1.11831,1.11896,1.1181,1.11817,NaN,NaN,45.51242176709877,56.59318999024397,NaN,NaN,50,NaN,NaN,NaN,NaN
1578380400,1.11817,1.11855,1.11729,1.11741,NaN,NaN,39.41251146684509,55.00597025348087,NaN,NaN,50,39.41251146684509,NaN,NaN,NaN
1578384000,1.11741,1.11876,1.11725,1.11846,NaN,NaN,49.485724562893076,54.324908366190165,NaN,NaN,50,NaN,NaN,NaN,NaN
1578387600,1.11846,1.11896,1.11806,1.11846,NaN,NaN,49.485724562893076,53.692939843184696,NaN,NaN,50,NaN,NaN,NaN,NaN
1578391200,1.11846,1.11863,1.1165,1.11764,NaN,NaN,43.00922153551619,52.481810089330956,NaN,NaN,50,NaN,NaN,NaN,NaN
1578394800,1.11764,1.1185,1.11722,1.11819,NaN,NaN,47.931531555552304,51.46036272770572,NaN,NaN,50,NaN,NaN,NaN,NaN
1578398400,1.11819,1.11833,1.1171,1.11749,NaN,NaN,42.85793792612031,50.18374647714726,NaN,NaN,50,NaN,NaN,NaN,NaN
1578402000,1.11749,1.11779,1.11548,1.11562,NaN,NaN,32.85329564482184,48.229754900773415,NaN,NaN,50,NaN,NaN,NaN,NaN
1578405600,1.11562,1.11624,1.11466,1.1148,NaN,NaN,29.591246616849602,46.446310661428654,NaN,NaN,50,NaN,NaN,NaN,NaN
1578409200,1.1148,1.11518,1.11342,1.11419,NaN,NaN,27.41085366568271,44.30397829724239,NaN,NaN,50,NaN,NaN,NaN,NaN
1578412800,1.11419,1.11441,1.11336,1.11371,NaN,NaN,25.79989103807125,42.19071372966511,NaN,NaN,50,25.79989103807125,NaN,NaN,NaN
1578416400,1.11371,1.11473,1.11368,1.11425,NaN,NaN,30.73200101533024,40.38220610913702,NaN,NaN,50,NaN,NaN,NaN,NaN
1578420000,1.11425,1.11496,1.11414,1.11436,NaN,NaN,31.72753796200817,38.75428438806706,NaN,NaN,50,NaN,NaN,NaN,NaN
1578423600,1.11436,1.1145,1.11419,1.11447,NaN,NaN,32.768139712266674,37.755574216567815,NaN,NaN,50,NaN,NaN,NaN,NaN
1578427200,1.11447,1.11478,1.11425,1.1144,NaN,NaN,32.42939859135144,36.821072561157294,NaN,NaN,50,NaN,NaN,NaN,NaN
1578430800,1.1144,1.11544,1.11438,1.11529,NaN,NaN,40.80773412166764,36.92073132221605,NaN,NaN,50,NaN,NaN,NaN,NaN
